Ref,Qnty,DigiKey Part Num
"C201, C302, C401, C501, C502, C601, ",6,445-173588-1-ND
"C301, ",1,445-180638-1-ND
"D201, ",1,1N4148FS-ND
"D301, D401, D402, ",3,160-1130-ND
"J201, ",1,AE10384-ND
"J301, ",1,CP-102B-ND
"J401, ",1,2057-PH1-05-UA-ND
"J601, ",1,A304-ND
"Q201, ",1,2368-BC558-ND
"Q202, ",1,2156-BC548-FS-ND
"R201, R202, R204, R401, ",4,10.0KXBK-ND
"R203, R205, R206, ",3,MFR-25FBF52-4K7-ND
"R301, R402, R403, ",3,MFR-25FBF52-300R-ND
"U301, ",1,497-1443-5-ND
"U401, ",1,150-PIC16F15256-I/SP-ND
"U501, U502, ",2,296-36142-5-ND
