"Source:","C:\EE\Projects\1005 Flash Programmer\KiCAD Project\1005 Flash Programmer\1005 Flash Programmer.sch"
"Date:","12/26/2021 11:18:50 AM"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","C201","0.1uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","CAP CER 0.1UF 50V X7R RADIAL","445-173588-1-ND","Ceramic Capacitors","FG28X7R1H104KNT06","TDK Corporation",""
"","","C301","0.33uF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","CAP CER 0.33UF 50V X7R RADIAL","445-180638-1-ND","Ceramic Capacitors","FA24X7R1H334KNU06","TDK Corporation",""
"","","C302","0.1uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","CAP CER 0.1UF 50V X7R RADIAL","445-173588-1-ND","Ceramic Capacitors","FG28X7R1H104KNT06","TDK Corporation",""
"","","C401","0.1uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","CAP CER 0.1UF 50V X7R RADIAL","445-173588-1-ND","Ceramic Capacitors","FG28X7R1H104KNT06","TDK Corporation",""
"","","C501","0.1uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","CAP CER 0.1UF 50V X7R RADIAL","445-173588-1-ND","Ceramic Capacitors","FG28X7R1H104KNT06","TDK Corporation",""
"","","C502","0.1uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","CAP CER 0.1UF 50V X7R RADIAL","445-173588-1-ND","Ceramic Capacitors","FG28X7R1H104KNT06","TDK Corporation",""
"","","C601","0.1uF","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","CAP CER 0.1UF 50V X7R RADIAL","445-173588-1-ND","Ceramic Capacitors","FG28X7R1H104KNT06","TDK Corporation",""
"","","D201","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","https://rocelec.widen.net/view/pdf/bhc41r7lwc/ONSM-S-A0003539415-1.pdf?t.download=true&u=5oefqw","","DIODE GEN PURP 100V 200MA DO35","1N4148FS-ND","Diodes - Rectifiers - Single","1N4148","onsemi",""
"","","D301","LED","Device:LED","LED_THT:LED_D5.0mm","https://www.lumex.com/spec/SSL-LX5093USBD.pdf","","https://www.lumex.com/spec/SSL-LX5093USBD.pdf","","LED BLUE DIFFUSED T-1 3/4 T/H","67-1751-ND","LED Indication - Discrete","SSL-LX5093USBD","Lumex Opto/Components Inc.",""
"","","D401","LED","Device:LED","LED_THT:LED_D5.0mm","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTL-307A.pdf","","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTL-307A.pdf","","LED AMBER DIFFUSED T-1 3/4 T/H","160-1949-ND","LED Indication - Discrete","LTL-307A","LITEON",""
"","","D402","LED","Device:LED","LED_THT:LED_D5.0mm","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTL-4233.pdf","","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTL-4233.pdf","","LED GREEN DIFFUSED T-1 3/4 T/H","160-1130-ND","LED Indication - Discrete","LTL-4233","LITEON",""
"","","H101","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","",""
"","","H102","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","",""
"","","H103","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","",""
"","","H104","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","",""
"","","J201","A-2004-2-4-LP-N-R","dk_Modular-Connectors-Jacks:54602-908LF","digikey-footprints:Ethernet_Jack_54602-908LF","","Connectors, Interconnects","","/product-detail/en/amphenol-icc-fci/54602-908LF/609-1046-ND/1001360","CONN MOD JACK 8P8C R/A UNSHLD","AE10384-ND","Modular Connectors - Jacks","A-2004-2-4-LP-N-R","Amphenol ICC (FCI)","Active"
"","","J301","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","digikey-footprints:Barrel_Jack_5.5mmODx2.1mmID_PJ-102A","https://www.cuidevices.com/product/resource/pj-102b.pdf","","https://www.cuidevices.com/product/resource/pj-102b.pdf","","CONN PWR JACK 2.5X5.5MM SOLDER","CP-102B-ND","Barrel - Power Connectors","PJ-102B","CUI Devices",""
"","","J401","ICSP","Connector_Generic:Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf","","https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf","","CONN HEADER VERT 5POS 2.54MM","2057-PH1-05-UA-ND","Rectangular Connectors - Headers, Male Pins","PH1-05-UA","Adam Tech",""
"","","J601","32-6554-10","DW_Library:32-6554-10","DW_Footprint:32-6554-10","https://www.arieselec.com/wp-content/uploads/2020/02/10001-universal-dip-zif-test-socket.pdf","","https://www.arieselec.com/wp-content/uploads/2020/02/10001-universal-dip-zif-test-socket.pdf","","CONN IC DIP SOCKET ZIF 32POS TIN","A304-ND","Sockets for ICs, Transistors","32-6554-10","Aries Electronics",""
"","","Q201","BC558","Transistor_BJT:BC558","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","","https://www.nteinc.com/specs/original/BC558.pdf","","TRANS PNP 30V 100MA TO92-3","2368-BC558-ND","Transistors - Bipolar (BJT) - Songle","BC558","NTE Electronics, Inc",""
"","","Q202","BC548","Transistor_BJT:BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","https://rocelec.widen.net/view/pdf/q1kc0zm1fe/FAIRS24942-1.pdf?t.download=true&u=5oefqw","","TRANS NPN 30V 100MA TO92-3","2156-BC548-FS-ND","Transistors - Bipolar (BJT) - Songle","BC548","Fairchild Semiconductor",""
"","","R201","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 10K OHM 1% 1/4W AXIAL","10.0KXBK-ND","Through Hole Resistors","MFR-25FBF52-10K","YAGEO",""
"","","R202","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 10K OHM 1% 1/4W AXIAL","10.0KXBK-ND","Through Hole Resistors","MFR-25FBF52-10K","YAGEO",""
